1	224
2	225
3	226
4	227
5	228
6	224
7	225
8	226
9	227
10	228
11	224
12	225
13	226
14	227
15	228
16	224
17	225
18	226
19	227
20	228
21	224
22	225
23	226
24	227
25	228
26	224
27	225
28	226
29	227
30	228
31	224
32	225
33	226
34	227
35	228
36	224
37	225
38	226
39	227
40	228
41	224
42	225
43	226
44	227
45	228
46	224
47	225
48	226
49	227
50	228
51	224
52	225
53	226
54	227
55	228
56	224
57	225
58	226
59	227
60	228
61	224
62	225
63	226
64	227
65	228
66	224
67	225
68	226
69	227
70	228
71	224
72	225
73	226
74	227
75	228
76	224
77	225
78	226
79	227
80	228
81	224
82	225
83	226
84	227
85	228
86	224
87	225
88	226
89	227
90	228
91	224
92	225
93	226
94	227
95	228
96	224
97	225
98	226
99	227
100	228
101	224
102	225
103	226
104	227
105	228
106	224
107	225
108	226
109	227
110	228
111	224
112	225
113	226
114	227
115	228
116	224
117	225
118	226
119	227
120	228
121	224
122	225
123	226
124	227
125	228
126	224
127	225
128	226
129	227
130	228
131	224
132	225
133	226
134	227
135	228
136	224
137	225
138	226
139	227
140	228
141	224
142	225
143	226
144	227
145	228
146	224
147	225
148	226
149	227
150	228
151	224
152	225
153	226
154	227
155	228
156	224
157	225
158	226
159	227
160	228
161	224
162	224
163	225
164	226
165	227
166	228
167	224
168	225
169	226
170	227
171	228
172	224
173	225
174	226
175	227
176	228
177	224
178	225
179	226
180	227
181	228
182	224
183	225
184	226
185	227
186	228
187	224
188	225
189	226
190	227
191	228
192	224
193	225
194	226
195	227
196	228
197	224
198	225
199	226
200	227
201	228
202	224
203	225
204	226
205	227
206	228
207	224
208	225
209	226
210	227
211	228
212	224
213	225
214	226
215	227
216	228
217	224
218	225
219	226
220	227
221	228
222	224
223	225
224	226
225	227
226	228
227	224
228	225
229	226
230	227
231	228
232	224
233	225
234	226
235	227
236	228
237	224
238	225
239	226
240	227
241	228
242	224
243	225
244	226
245	227
246	228
247	224
248	225
249	226
250	227
251	228
252	224
253	225
254	226
255	227
256	228
257	224
258	225
259	226
260	227
261	228
262	224
263	225
264	226
265	227
266	228
267	224
268	225
269	226
270	227
271	228
272	224
273	225
274	226
275	227
276	228
277	224
278	225
279	226
280	227
281	228
282	224
283	225
284	226
285	227
286	228
287	224
288	225
289	226
290	227
291	228
292	224
293	225
294	226
295	227
296	228
297	224
298	225
299	226
300	227
301	228
302	224
303	225
304	226
305	227
306	228
307	224
308	225
309	226
310	227
311	228
312	224
313	225
314	226
315	227
316	228
317	224
318	225
319	226
320	227
321	228
322	224
323	225
324	226
325	227
326	228
327	224
328	225
329	226
330	227
331	228
332	224
333	225
334	226
335	227
336	228
337	224
338	225
339	226
340	227
341	228
342	224
343	225
344	226
345	227
346	228
347	224
348	225
349	226
350	227
351	228
352	224
353	225
354	226
355	227
356	228
357	224
358	225
359	226
360	227
361	228
362	224
363	225
364	226
365	227
366	228
367	224
368	225
369	226
370	227
371	228
372	225
373	226
374	227
375	228
376	224
377	225
378	226
379	227
380	228
381	224
382	225
383	226
384	227
385	228
386	224
387	225
388	226
389	227
390	228
391	224
392	225
393	226
394	227
395	228
396	224
397	225
398	226
399	227
400	228
401	224
402	225
403	226
404	227
405	228
406	224
407	225
408	226
409	227
410	228
411	224
412	225
413	226
414	227
415	228
416	224
417	225
418	226
419	227
420	228
421	224
422	225
423	226
424	227
425	228
426	224
427	225
428	226
429	227
430	228
431	224
432	225
433	226
434	227
435	228
436	224
437	225
438	226
439	227
440	228
441	224
442	225
443	226
444	227
445	228
446	224
447	225
448	226
449	227
450	228
451	224
452	225
453	226
454	227
455	228
456	224
457	225
458	226
459	227
460	228
461	224
462	225
463	226
464	227
465	228
466	224
467	225
468	226
469	227
470	228
471	224
472	225
473	226
474	227
475	228
476	224
477	225
478	226
479	227
480	228
481	224
482	225
483	226
484	227
485	228
486	224
487	225
488	226
489	227
490	228
491	224
492	225
493	226
494	227
495	228
496	224
497	225
498	226
499	227
500	228
501	224
502	225
503	226
504	227
505	228
506	224
507	225
508	226
509	227
510	228
511	224
512	225
513	226
514	227
515	228
516	224
517	225
518	226
519	227
520	228
521	224
522	225
523	226
524	227
525	228
526	224
527	225
528	226
529	227
530	228
531	224
532	225
533	226
534	227
535	228
536	224
537	225
538	226
539	227
540	228
541	224
542	225
543	226
544	227
545	228
