100	243	4017,6,412,408,175,445,2,2,4
101	243	4513,212,412,553,414,445,2,6,10
102	242	190,212,412,553,9,10,2,6,10
107	246	1562,197,198,158,200,201,188,4,2
108	244	4526,187,188,189,200,191,148,2,4
109	243	416,197,198,199,195,201,5,2,8
110	243	416,197,198,199,195,201,5,2,8
111	250	4080,26,137,138,29,30,148,3,1
112	250	4560,26,137,138,29,30,148,3,1
113	248	4113,197,198,199,84,201,295,14,6
114	249	1790,197,193,153,200,201,148,2,4
115	244	881,187,157,158,9,155,148,2,38
116	244	4526,197,198,199,200,181,5,2,4
117	244	4522,197,198,199,200,181,5,2,4
118	249	1784,297,17,18,180,176,5,2,8
119	247	1080,924,382,28,29,361,33,8,4
120	251	2220,26,27,28,139,140,151,1,38
121	242	181,6,298,8,9,10,115,8,6
122	253	2741,131,137,138,139,130,281,2,4
123	241	647,26,137,28,29,140,150,2,38
124	245	1302,367,27,28,29,361,261,2,4
125	245	1302,367,27,28,29,361,261,2,4
126	243	408,21,137,28,29,140,148,2,8
127	242	145,924,27,28,300,361,151,1,3
128	243	408,26,137,28,29,140,148,2,4
129	242	44,6,298,8,9,361,22,1,6
130	243	395,26,392,28,29,361,148,2,4
131	252	2497,111,112,548,114,50,311,1,35
132	252	2497,111,112,548,114,50,311,1,35
133	251	2226,197,198,158,195,201,148,2,38
134	243	416,197,198,199,195,191,148,2,38
135	251	2226,197,198,158,195,201,148,2,38
136	251	2226,197,198,158,195,201,148,2,38
137	251	2226,197,198,158,195,201,148,2,38
138	250	1850,675,751,586,638,639,191,3,1
139	243	416,197,198,199,195,191,148,2,38
140	243	416,197,198,199,195,191,148,2,38
141	242	91,1,238,3,4,5,46,1,7
142	243	416,197,198,199,195,191,148,2,38
143	243	416,197,198,199,195,191,148,2,38
144	243	416,197,198,199,195,191,148,2,38
145	250	1995,136,137,138,139,140,180,10,4
146	250	1995,136,137,138,139,140,180,10,4
147	243	416,197,198,199,195,191,148,2,38
148	242	44,6,298,8,9,10,46,1,3
149	245	1348,192,198,199,200,201,5,38,2
150	243	4017,207,208,23,24,25,317,2,4
151	241	559,1,27,23,4,25,7,8,10
152	253	4102,187,198,199,195,201,5,36,2
153	243	416,197,198,199,200,191,148,2,4
154	254	2441,197,193,199,195,191,148,38,28
155	242	190,187,188,199,190,191,148,4,2
156	242	190,187,188,199,190,191,148,4,2
157	244	705,590,736,732,728,729,295,6,2
158	243	4009,146,147,148,149,150,1,2,4
159	242	44,217,298,398,300,495,116,2,4
160	244	884,46,726,48,49,729,295,1,6
161	243	408,96,27,28,29,100,115,14,24
162	241	652,506,487,488,489,510,8,1,3
163	241	652,506,487,488,489,510,116,1,3
164	241	652,506,487,488,489,510,116,1,3
165	246	1562,197,198,158,200,201,188,4,2
166	242	55,501,298,78,300,385,123,1,3
167	242	95,376,387,8,389,130,10,1,6
168	244	802,26,382,23,29,361,46,1,5
169	250	4560,146,137,148,139,150,46,3,1
170	250	4560,146,137,148,139,150,46,3,1
171	252	2497,287,112,354,114,120,311,1,37
172	252	2497,511,112,354,114,120,311,1,37
173	254	2358,802,803,911,805,806,120,1,37
174	254	2358,802,803,911,805,806,123,1,37
175	249	1790,197,193,153,195,201,148,2,4
176	242	5,600,547,586,688,689,123,4,2
177	250	4078,136,137,133,134,130,290,1,7
178	249	1685,167,97,169,99,171,128,4,1
179	249	1685,167,97,169,99,171,128,4,1
180	249	1790,197,198,199,195,191,148,4,2
181	249	1790,197,198,199,195,191,148,4,2
182	249	1790,197,193,153,195,201,148,2,4
183	249	1790,197,198,153,195,201,148,2,4
184	249	1790,197,198,153,195,201,148,2,4
185	249	1790,197,198,153,195,201,148,2,4
186	249	1790,197,198,153,195,201,148,2,4
187	243	416,197,198,199,195,201,148,2,4
188	250	1908,898,1030,1011,1114,1054,165,7,9
189	242	55,802,298,403,300,495,123,6,8
190	253	2854,131,137,133,139,130,311,1,4
191	252	2639,136,137,133,134,130,311,1,4
192	246	1449,111,112,108,114,110,188,1,4
193	251	2059,802,522,503,454,525,46,1,7
194	243	274,217,422,483,479,485,5,2,4
195	252	4097,36,107,28,39,140,311,2,10
196	242	190,187,188,199,190,191,148,4,2
197	246	1498,116,117,108,119,110,311,2,4
198	246	1422,297,298,299,300,301,311,3,9
199	246	1422,297,298,299,300,301,311,3,9
200	246	1422,297,298,299,300,301,311,3,9
201	246	1422,297,298,299,300,301,311,3,9
202	246	1422,297,298,299,300,301,188,3,9
203	248	2916,511,512,18,19,515,276,36,2
204	248	2916,511,512,18,19,515,276,36,2
205	248	2916,511,512,18,19,515,276,36,2
206	242	190,197,198,199,195,191,148,14,40
207	246	1532,899,834,1011,1394,1165,46,5,2
208	249	1790,197,198,153,195,201,148,2,4
209	243	416,197,198,199,195,191,148,2,4
210	243	416,197,198,199,195,191,148,2,4
211	243	416,197,198,199,195,191,148,2,38
212	250	1849,501,492,493,494,500,190,1,3
213	243	416,197,198,199,195,191,148,2,38
214	243	416,197,198,199,195,191,148,2,38
215	244	4526,197,198,199,139,201,83,2,4
216	244	4526,197,198,199,139,201,83,2,4
217	253	2863,192,198,199,195,181,5,2,4
218	253	2863,192,198,199,195,181,5,2,4
219	253	4103,146,142,143,129,130,311,1,7
220	251	2093,217,482,483,215,485,21,2,4
221	244	773,342,157,339,159,341,122,8,2
222	244	773,342,157,339,159,341,122,8,2
223	243	416,197,198,199,195,191,148,2,4
224	243	416,197,198,199,195,191,148,2,4
225	243	416,197,198,199,195,191,148,2,4
226	243	416,197,198,199,195,191,148,2,4
228	250	4560,146,147,148,149,150,125,4,2
230	250	4560,187,147,148,195,150,148,4,2
231	242	55,391,298,78,394,385,150,1,3
232	250	2003,192,198,133,195,201,148,4,2
233	244	879,26,137,28,29,140,7,2,8
234	242	55,96,97,393,139,135,5,3,1
235	250	1995,391,127,133,129,135,148,1,3
236	250	1995,391,127,133,129,135,148,1,3
237	254	4090,1,198,199,195,201,148,7,1
238	254	2441,197,193,199,195,191,148,38,28
239	245	1344,192,193,158,159,160,33,2,10
240	242	190,187,188,199,190,191,148,4,2
241	243	266,177,178,179,285,181,193,8,1
242	253	2741,131,137,158,79,361,148,4,2
243	251	2091,421,422,418,449,420,46,1,3
244	243	416,187,188,189,200,191,5,1,3
245	243	4507,146,157,148,159,150,148,38,2
246	254	2319,217,137,138,139,361,169,2,4
247	254	2319,56,137,138,59,140,7,4,2
248	254	4092,6,147,189,149,150,148,2,38
249	244	4526,197,198,199,195,201,148,1,3
250	254	2393,1614,1559,1475,1617,1650,118,13,5
